Name,Address,Coordinates,Type,District
Ясли-сад № 83,"микрорайон Казахфильм, 9","76.903958,43.191977",садик,Бостандыкский
Частный ясли-сад Симба,"ул. Абиша Кекилбайулы, 32А","76.890130,43.206633",садик,Бостандыкский
Ясли-сад № 88,"ул. Жандосова, 36А","76.903213,43.232170",садик,Бостандыкский
Ясли-сад № 99,"ул. Таира Жарокова, 294","76.905849,43.203420",садик,Бостандыкский
Детский сад № 152,"ул. Абдуллы Розыбакиева, 202","76.892104,43.226574",садик,Бостандыкский
Ясли-Сад № 92,"микрорайон Алмагуль, 41","76.901955,43.204294",садик,Бостандыкский
Ясли-сад № 77,"ул. Байзакова, 310","76.916087,43.229339",садик,Бостандыкский
Балажан,"ул. Ораза Жандосова, 14","76.907830,43.234157",садик,Бостандыкский
Детский сад № 87,"ул. Си Синхая, 14","76.900151,43.215802",садик,Бостандыкский
Damina,"микрорайон Баганашыл, Подгорная ул., 14А","76.913936,43.195355",садик,Бостандыкский
Ясли-сад № 69,"ул. Байзакова, 313","76.914935,43.227723",садик,Бостандыкский
Ясли-сад № 72,"ул. Владимира Радостовца, 141","76.891667,43.236078",садик,Бостандыкский
Комарик,"ул. Едила Ергожина, 47","76.907079,43.214077",садик,Бостандыкский
Капитошка,"Бостандыкский район, микрорайон Нур Алатау, ул. Балжан Болтирикова, 15","76.903810,43.184488",садик,Бостандыкский
Ясли-сад № 113,"ул. Алишера Навои, 330","76.889436,43.196132",садик,Бостандыкский
Зердеш,"ул. Таира Жарокова, 356","76.910779,43.202503",садик,Бостандыкский
Болашак,"просп. Сакена Сейфуллина, 544","76.935048,43.239487",садик,Бостандыкский
Детский сад Нурай,"просп. Ермека Серкебаева, 11","76.894645,43.223874",садик,Бостандыкский
Edisonka,"Бостандыкский район, микрорайон Нурлытау, ул. Торбулак, 7","76.905239,43.173974",садик,Бостандыкский
Han Sultan,"Алматы, Бостандыкский район, микрорайон Нур Алатау","76.893969,43.184464",садик,Бостандыкский
Tamosik,"13-я ул., 140/1","76.910735,43.169362",садик,Бостандыкский
Альтар,"Алматы, Бостандыкский район, микрорайон Нур Алатау, улица Булбул, 8/1","76.904959,43.188686",садик,Бостандыкский
Dostyk Baby,"просп. Аль-Фараби, 93/9","76.912828,43.212264",садик,Бостандыкский
Детский сад № 10,"ул. Шевченко, 186А","76.897379,43.241874",садик,Бостандыкский
Ясли-сад № 71,"бул. Бухар Жырау, 62А","76.907700,43.230100",садик,Бостандыкский
Ясли-сад № 80,"микрорайон Орбита-1, 4","76.883548,43.201663",садик,Бостандыкский
Ясли-сад № 82,"просп. Юрия Гагарина, 278/1","76.900047,43.206963",садик,Бостандыкский
Чудесная страна,"микрорайон Хан Тенгри, 67В","76.892555,43.173273",садик,Бостандыкский
Ясли-сад № 90,"ул. Керима Мынбаева, 106","76.884523,43.235560",садик,Бостандыкский
The Apple Tree,"ул. Зеина Шашкина, 3","76.928903,43.224594",садик,Бостандыкский
Ясли-сад № 89,"микрорайон Орбита-4, 25Б","76.877509,43.196440",садик,Бостандыкский
Tender Care,"ул. Султанбека Ходжанова, 76, корп. 4","76.911413,43.207202",садик,Бостандыкский
Ясли-сад № 91,"ул. Таира Жарокова, 279","76.901402,43.213217",садик,Бостандыкский
Ordagen Kids,"Бостандыкский район, микрорайон Нур Алатау, ул. Абулхаир хан, 91","76.902433,43.178595",садик,Бостандыкский
Город Друзей,"5-й пер., 14","76.931474,43.198546",садик,Бостандыкский
Ясли-сад № 40,"ул. Куляш Байсеитовой, 45А","76.944278,43.240208",садик,Бостандыкский
Зайка,"ул. Сергея Маркова, 9","76.925801,43.233237",садик,Бостандыкский
Zere Land,"ул. Алмалы, 6А","76.916230,43.194734",садик,Бостандыкский
Atakent Kids,"ул. Василия Клочкова, 167","76.902313,43.228428",садик,Бостандыкский
Ясли-сад № 81,"микрорайон Орбита-2, 20","76.883889,43.196270",садик,Бостандыкский
Детский сад-ясли № 79,"ул. Василия Клочкова, 165А","76.902212,43.229605",садик,Бостандыкский
Ясли-сад № 68,"ул. Александра Шмелева, 20","76.900393,43.218188",садик,Бостандыкский
Bala Qyran,"Бостандыкский район, микрорайон Нур Алатау, ул. Нурлы Байкенова, 18","76.902795,43.182359",садик,Бостандыкский
