Name,Address,Coordinates
Городская клиническая больница № 5,"просп. Достык, 220","76.962712,43.226944"
Алматинская многопрофильная клиническая больница,"ул. Андрея Демченко, 83","76.989935,43.283154"
Национальный госпиталь Медицинского центра Управления делами Президента РК,"ул. Панфилова, 139","76.945656,43.247131"
Центральная городская клиническая больница,"ул. Ораза Жандосова, 6","76.912088,43.234835"
Городская клиническая больница № 4,"ул. Папанина, 220","76.962798,43.319556"
Больница,"посёлок Боралдай, ул. Кенена Азербаева, 1А","76.853365,43.368106"
Городская клиническая больница № 7,"Наурызбайский район, микрорайон Калкаман, 20","76.799802,43.232455"
Городская клиническая больница № 8,"ул. Акан Серы, 36","76.950760,43.326912"
Городская клиническая больница № 1,"Наурызбайский район, микрорайон Калкаман-2, 2/1","76.802033,43.229381"
Национальный госпиталь Медицинского центра Управления делами Президента РК,"ул. Шевченко, 59","76.943790,43.246666"
"Национальный научный центр хирургии имени А.Н. Сызганова, отделение функциональной диагностики","ул. Желтоксан, 62","76.938854,43.264474"
Поликлиника научно-исследовательского института кардиологии и внутренних болезней,"ул. Айтеке би, 120","76.927582,43.256303"
"Городской центр репродукции человека, стационар","ул. Назыра Торекулова, 73","76.932516,43.265200"
Городской кардиологический центр г. Алматы,"ул. Толе би, 91","76.929854,43.254132"
Республиканская детская клиническая больница Аксай КазНМУ имени С. Д. Асфендиярова,"Наурызбайский район, ул. Санжар Жандосова, 1Е","76.813741,43.180412"
Детская городская клиническая больница № 2,"2-й микрорайон, 54","76.856284,43.232771"
Городская поликлиника № 1,"ул. Гоголя, 53","76.952362,43.260706"
Центр детской неотложной медицинской помощи,"ул. Манаса, 40","76.910888,43.231887"
Сункар,"Кульджинский тракт, 4А","76.985522,43.285167"
Детская городская клиническая инфекционная больница,"ул. Байзакова, 299А","76.912717,43.232427"
Городская поликлиника № 19,"ул. Папанина, 220","76.963895,43.320011"
Областная больница,"село Отеген батыра, ул. 10 лет Независимости, 35","77.029249,43.416862"
Клиника внутренних болезней,"просп. Райымбека, 50А","76.958788,43.270906"
Филиал городской клинической инфекционной больницы им. И. С. Жекеновой,"ул. Дегдар, 10/2","76.986113,43.394613"
Казахский научный центр дерматологии и инфекционных заболеваний,"просп. Райымбека, 60","76.956576,43.270827"
Городская больница скорой неотложной помощи,"ул. Казыбек би, 96","76.929284,43.254882"
Илийская Центральная Районная больница,"село Отеген батыра, ул. Титова, 30","77.021659,43.425566"
Больница,"Алматинская область, Талгарский район, село Бесагаш, улица Магжана Жумабаева","77.037437,43.294428"
Городская клиническая больница № 5,"просп. Достык, 220/1","76.962623,43.227560"
Сельская больница села Панфилово,"село Панфилово, ул. Кулджа, 77Б","77.124693,43.390265"
Городская клиническая инфекционная больница им. И.С. Жекеновой,"ул. Бауыржана Момышулы, 1/55к1","76.817464,43.299818"
Городская больница Алатау,"Медеуский район, микрорайон Алатау, ул. Жетбаева, 28","77.139670,43.362935"
Алматинский онкологический центр,"ул. Папанина, 220А","76.962929,43.320455"
Научный центр педиатрии и детской хирургии,"просп. Аль-Фараби, 146","76.917835,43.205558"
Жан-Ай-Мир,"просп. Сакена Сейфуллина, 104","76.939907,43.314106"
Госпиталь МВД РК,"ул. Едила Ергожина, 17","76.908169,43.207795"
Городская поликлиника № 26,"Наурызбайский район, микрорайон Таусамалы, ул. Грозы, 102","76.832537,43.189933"
Институт неврологии имени Смагула Кайшибаева,"ул. Кабанбай батыра, 119","76.924182,43.248350"
"Городской кардиологический центр, 3-я кардиология","ул. Толе би, 93","76.928158,43.254028"
Медицинский центр Medline Сервис,"просп. Назарбаева, 135","76.946929,43.251195"
Модульный инфекционный госпиталь,"Алматы, Ташкентский тракт, 541","76.787437,43.233884"
Республиканский научно-практический центр психического здоровья,"просп. Абая, 67","76.932838,43.242212"
Национальный научный центр хирургии имени А. Н. Сызганова,"ул. Желтоксан, 51","76.938015,43.264479"
Региональный военный госпиталь с поликлиникой КНБ РК,"просп. Достык, 103/41","76.959261,43.220436"
"Врачебная амбулатория, поселения Туздыбастау","село Туздыбастау, ул. Бердыгулова, 22","77.057413,43.317559"
Ақ Сенiм,"ул. Шамши Калдаякова, 54","76.958934,43.256536"
"Городской кардиологический центр, 4-я кардиология","ул. Толе би, 93","76.928137,43.254014"
"Детская городская клиническая инфекционная больница, отделение острых кишечных инфекций","ул. Байзакова, 299А","76.912631,43.232570"
Психосоматическое отделение г. Алматы,"Алмалинский район, ул. Амангельды, 88","76.932914,43.243116"
Городской кардиологический центр,"ул. Толе би, 93","76.928082,43.253960"
Городская больница,"Медеуский район, микрорайон Алатау, ул. Жетбаева, 28/1","77.139008,43.362203"
Городская больница сестринского ухода,"ул. Байзакова, 295","76.912851,43.235647"
Городская клиническая больница № 5,"просп. Достык, 220/1","76.962626,43.227561"
"Городской кардиологический центр, отделение реанимации и интенсивной терапии","ул. Толе би, 93","76.928110,43.254002"
"Центральная городская клиническая больница, Диагностическое отделение","ул. Саудакент, 6","76.911287,43.234919"
Медицинский центр Алматинский региональный диагностический центр,"Алмалинский район, ул. Жамбыла, 187","76.902668,43.245600"
Алматинский областной кожно-венерологический диспансер,"микрорайон Кок-Тобе, ул. Розы Баглановой, 69А","76.975715,43.252048"
Medline,"ул. Курмангазы, 98/71","76.932346,43.243439"
Национальный научный центр фтизиопульмонологии Республики Казахстан,"ул. Калижана Бекхожина, 5","76.963108,43.246071"
"Городской кардиологический центр, кардиологическое реабилитационное отделение","ул. Толе би, 93","76.928134,43.253950"
"Городская клиническая больница № 7, консультативно-реабилитационное отделение","Наурызбайский район, микрорайон Калкаман, 20","76.799834,43.232634"
Адкмед,"ул. Айтжана Туркебаева, 257Е, этаж 1","76.882073,43.232415"
Центр фтизиопульмонологии Управления общественного здоровья г. Алматы,"ул. Дегдар, 45","76.989374,43.398992"
"Городская клиническая больница № 5, отделение реабилитации","просп. Достык, 220/1","76.962339,43.227530"
"Научно-исследовательский институт Онкологии и Радиологии, поликлиника","просп. Абая, 91","76.923047,43.241185"
"Детская городская клиническая инфекционная больница, отделение респираторных инфекций и заболеваний дыхательной системы","ул. Байзакова, 299А","76.913421,43.232301"
"Детская городская больница № 2, консультативно-диагностический педиатрический центр","Алматы, 2-й микрорайон, проспект Алтысарина, 54","76.855952,43.232060"
"Центральная клиническая больница, отделение платных медицинских услуг","ул. Шевченко, 59","76.943844,43.246674"
Клинико-диагностический центр,"ул. Ораза Жандосова, 6/3","76.910947,43.235251"
Алан,"ул. Есенова, 1, этаж 2","76.955353,43.264967"
"Городская поликлиника № 4, акушерско-гинекологическое отделение","микрорайон Орбита-3, 12А, этаж 1","76.876671,43.201721"
