Name,Address,Coordinates
Главный учебный корпус КазНТУ,"ул. Каныша Сатпаева, 22","76.929863,43.236333"
Казахский национальный университет имени Аль-Фараби,"просп. Аль-Фараби, 71","76.921260,43.225245"
Университет Туран,"ул. Каныша Сатпаева, 16А","76.940383,43.237368"
Казахстанско-Британский технический университет,"ул. Толе би, 59","76.943169,43.255311"
Египетский университет исламской культуры Нур-Мубарак,"просп. Аль-Фараби, 73","76.917705,43.212200"
Университет ИТ,"ул. Манаса, 34/1","76.909906,43.235095"
Университет международного бизнеса,"просп. Абая, 8А","76.950273,43.242368"
Alt University,"ул. Шевченко, 97","76.928324,43.245432"
Казахский национальный педагогический университет имени Абая,"просп. Достык, 13","76.954337,43.256416"
Казахский национальный медицинский университет имени С.Д. Асфендиярова,"ул. Толе би, 94","76.931236,43.252882"
"Казахстанский институт менеджмента, экономики и прогнозирования","просп. Абая, 4, офис 115","76.954604,43.242563"
Казахский национальный аграрный университет,"просп. Абая, 8","76.951915,43.242007"
Нархоз,"ул. Ораз Жандосова, 55","76.871262,43.214575"
Казахская национальная академия искусств имени Темирбека Караевича Жургенова,"ул. Панфилова, 127","76.944620,43.251822"
Алматинский технологический университет,"ул. Толе би, 100","76.926631,43.252418"
Казахский государственный женский педагогический университет,"ул. Гоголя, 114/1","76.930603,43.258479"
Пограничная академия Комитета Национальной Безопасности Республики Казахстан,"просп. Достык, 103","76.963442,43.218212"
Казахская академия спорта и туризма,"ул. Халела Досмухамедова, 96","76.926620,43.241512"
"Институт математики, физики и информатики","ул. Толе би, 86","76.935018,43.253193"
Университет Caspian University,"просп. Сакена Сейфуллина, 521","76.932069,43.256960"
Евразийская юридическая академия имени Д.А. Кунаева,"ул. Курмангазы, 107","76.927784,43.243586"
"СПбГУП, филиал","ул. Чайковского, 11","76.935955,43.268897"
Институт промышленной инженерии им. А. Буркитбаева,"ул. Каныша Сатпаева, 22В","76.933806,43.237352"
Евразийский технологический университет,"ул. Толе би, 109Б","76.923170,43.254220"
Международный инженерно-технологический университет,"просп. Аль-Фараби, 93Г/5","76.911432,43.212666"
Goethe-Institut Kasachstan,"ул. Наурызбай батыра, 31","76.935238,43.260300"
Мечеть Нур Мубарак,"просп. Аль-Фараби, 73А","76.916916,43.212061"
Каспийский университет,"просп. Достык, 85А","76.955952,43.244269"
"Алматинский технологический университет, Факультет инжиниринга и информационных технологий","микрорайон Тастак-1, ул. Фурката, 348/4","76.859939,43.250137"
Казахстанско-российский медицинский университет,"просп. Абылай хана, 51/53","76.939840,43.264912"
МехМат КазНУ,"просп. Аль-Фараби, 71/23","76.923846,43.224623"
Казахский университет международных отношений и мировых языков им. Абылай Хана,"ул. Гани Муратбаева, 200","76.920386,43.243709"
КазНПУ им.Абая,"просп. Абая, 56Г","76.910332,43.238586"
Казахстанско-Немецкий университет,"ул. Курмангазы, 46А","76.947847,43.244227"
Университет народного хозяйства,"1-й микрорайон, 81","76.845486,43.227750"
"Казахский национальный университет имени Аль-Фараби, факультет международных отношений и востоковедения","ул. Карасай Батыра, 95","76.928221,43.250539"
Казахстанско-немецкий университет,"ул. Пушкина, 111","76.954135,43.249168"
Алматинская академия МВД РК им. Макана Есбулатова,"ул. Ташена Утепова, 29","76.889861,43.218702"
"Казахский университет международных отношений и мировых языков имени Абылай хана, факультет востоковедения","ул. Наурызбай батыра, 73","76.935813,43.253682"
Казахско-американский университет,"ул. Торайгырова, 29","76.871561,43.202237"
"Казахский национальный технический университет им. К.И. Сатпаева, Военный корпус","ул. Байтурсынова, 140","76.934183,43.232095"
Международный транспортно-гуманитарный университет,"микрорайон Жетысу-1, 32А","76.839688,43.221175"
Q university,"ул. Байзакова, 125/185НП4","76.910329,43.256000"
Институт цифровой техники и технологий,"ул. Каныша Сатпаева, 22В/1","76.934828,43.237007"
